video_id,title,description,upload_date,view_count,like_count,comment_count
jnqXa-MyZeQ,7 Paid Character Skins That Got Released For Free in COD Mobile!,"Link to Purchase through Codashop
https://codashop.sjv.io/c/2984082/1122626/11950?sharedid=Ednox

7 Paid Character Skins That Got Released For Free in COD Mobile! 

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09",2022-02-22T06:21:11Z,48092,2411,177
30EmO154a4w,IShowSpeed Gets His First Nuke in CODM!,"IShowSpeed Gets His First Nuke in CODM!

Ishowspeed gets his first nuke

Follow me on-
Instagram-https://instagram.com/ednoxyt

Twitter- https://twitter.com/EdNOXYT?t=si8HkrRjoVF-yEVUN4BVHg&s=09

#codm #codmobile #callofdutymobile #season3",2023-04-21T12:44:15Z,17199,509,82
thJoiMdQo6c,CODM Never Released This Best Looking Skin!,"Link to purchase through CODASHOP-
https://codashop.sjv.io/c/2984082/1334278/11950?sharedid=Ednox

CODM Never Released This Best Looking Skin! 

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09",2022-06-10T08:14:40Z,19719,1188,128
uUaBffAY6-Y,3 Most Ridiculous P2W Things in CODM!,"Link to Purchase through Codashop
https://codashop.sjv.io/c/2984082/1122626/11950?sharedid=Ednox

3 Most Ridiculous P2W Things in CODM! 

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09",2022-03-12T05:09:51Z,22952,1681,285
w3ssJwoi9y8,Free Fire Graphics in CODM Be Like!,"Link to Purchase through Codashop
https://codashop.sjv.io/c/2984082/1122626/11950?sharedid=Ednox

Free Fire Graphics in CODM Be Like!

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09
 
#codm #codmobile #freefire",2022-02-14T05:20:34Z,18956,1539,283
ztXEKlo2ab0,4 Ways to Enjoy CODM!,"4 Ways to Enjoy CODM! 

Instagram-https://instagram.com/ednoxyt
Discord-https://discord.gg/5ZTF4kuM9f
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09",2022-01-05T08:49:01Z,20558,1825,223
uz3Mww3kgf8,5 Characters With The Worst Voices in CODM!,"5 Characters With The Worst Voices in CODM! these are the 5 characters that have the worst voicelines in codm! 

Socials
Instagram-https://instagram.com/ednoxyt
Discord-https://discord.gg/5ZTF4kuM9f
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09

Link to Purchase through Codashop
https://codashop.sjv.io/c/2984082/1122626/11950?sharedid=Ednox

#codm #codmobile #characters",2021-12-06T11:25:30Z,100011,4192,1234
2si6cRcF_8o,The Secret Setting CODM Added to Make Everyone Happy!,"You Must Use These 5 Loadouts in Season 8! 

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09",2022-09-10T14:31:12Z,14352,890,92
4_kkeBnzck4,The Most Dangerous BOT in CODM!,"The Most Dangerous BOT in CODM! 

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&

#codm #bot #codmobile",2022-12-28T13:06:18Z,16626,714,258
bFGobWWqBqM,Exposing the #1 Fraud in CODM Community!,"Link to Purchase through Codashop
https://codashop.sjv.io/c/2984082/1122626/11950?sharedid=Ednox

Exposing the #1 Fraud in CODM Community! 

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09

#codm #hacker #codmobile",2022-04-16T15:01:18Z,30700,2190,268
G-x3AIDNnoE,3 Reasons Why Garena Players Are Obsessed With Shotguns!,"3 Reasons Why Garena Players Are Obsessed With Shotguns! 
These are the reasons why garena players are so obsessed with shotguns

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09",2022-08-26T12:04:38Z,11940,802,179
LpLTIIKCE14,The Reason Why All Garena Players Uses RED Dot!,"Link to Purchase through Codashop
https://codashop.sjv.io/c/2984082/1122626/11950?sharedid=Ednox

The Reason Why All Garena Players Uses RED Dot! 

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09",2022-03-02T11:05:27Z,54050,3033,319
Et0lJ-B4dF8,How to Swim in Multiplayer Mode in CODM!,"How to Swim in Multiplayer Mode in CODM! 

Instagram-https://instagram.com/ednoxyt
Discord-https://discord.gg/5ZTF4kuM9f
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09

Link to Purchase through Codashop
https://codashop.sjv.io/c/2984082/1122626/11950?sharedid=Ednox

#codm #codmobile #swim",2021-12-30T11:36:12Z,23687,1519,156
jtlqd4ik1js,First Secondary with LMG Mag Size!,"First Secondary with LMG Mag Size!

This is the first secondary with LMG magazine size

Follow me on-
Instagram-https://instagram.com/ednoxyt

Twitter- https://twitter.com/EdNOXYT?t=si8HkrRjoVF-yEVUN4BVHg&s=09

#codm #codmobile #callofdutymobile #season4",2023-04-30T09:56:43Z,4188,248,76
yJng6GY2vbQ,5 Signs of a New Player in CODM!,"5 Signs of a New Player in CODM! these are the 5 signs of a new codm player that we mostly see. 

Socials
Instagram-https://instagram.com/ednoxyt
Discord-https://discord.gg/5ZTF4kuM9f
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09

Link to Purchase through Codashop
https://codashop.sjv.io/c/2984082/1122626/11950?sharedid=Ednox

#codm #codmobile #meme",2021-12-07T07:33:39Z,20350,1702,204
G4nmZswh1HQ,Top 5 AR's with the Most Accuracy!,"Codashop Link-
https://codashop.sjv.io/c/2984082/1122626/11950?sharedid=MajorAlex

#top5 #ar #accuracy",2021-10-05T04:54:35Z,12975,1185,158
SLs1lrKyUQA,2 Most Pay 2 Lose Legendary Skins!,"Link to Purchase through Codashop
https://codashop.sjv.io/c/2984082/1122626/11950?sharedid=Ednox

2 Most Pay 2 Lose Legendary Skins

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09",2022-03-03T12:36:08Z,15548,1306,101
iEx4Q2dK4HY,Fastest Method To Level Up To 200 In CODM!,"Fastest Method To Level Up To 200 In CODM

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&.

#codm #codmobile #callofdutymobile",2023-01-14T12:42:12Z,38681,863,102
L75x_OROMFI,Assault Rifles With The Worst Ironsight!,#shorts #cod #codmobile #callofdutymobile,2023-07-20T09:45:49Z,25606,1139,90
EiriZK8qAzU,5 Forgotten Weapons in CODM!,"#codm #codmobile #callofdutymobile 

Codm
Cod mobile
Call of duty mobile
Ednox
Ice codm
Iferg",2021-09-15T06:28:41Z,68799,3946,779
1OiP1w3QR2o,Iconic Skins of Each Year in CODM!,#shorts #codm #codmobile #cod #viral,2023-05-15T13:03:29Z,35527,2522,78
V_11J-iQ0HI,2 Guns That Were Pay2Win in CODM,"2 Guns That Were Pay2Win in CODM. these are the 2 guns that were pay 2 win in codm before gunsmith! 

Socials
Instagram-https://instagram.com/ednoxyt
Discord-https://discord.gg/5ZTF4kuM9f
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09

Link to Purchase through Codashop
https://codashop.sjv.io/c/2984082/1122626/11950?sharedid=Ednox

#codm #ranked #codmobile",2021-12-12T12:27:57Z,16274,1342,95
52Q9Ci8pyZc,ITS JUST AN SMG BRO 😊😊😊,#shorts #cod #codmobile #callofdutymobile,2023-06-03T16:53:59Z,84841,5145,485
5fCy-7jKqaM,How to Get Free Battle Pass and Cheap CP!,"CodaShop Facebook Meme contest link - https://www.facebook.com/Codashop.IN/posts/3097795687169140

Link to Purchase CP Through Codashop-
https://codashop.sjv.io/c/2984082/1122626/11950?sharedid=Ednox

#codm #battlepass #cp",2021-10-06T04:44:14Z,16982,1499,218
Ue0Y5vLxxkA,First Automatic Pistol in CODM!,"Link to Purchase through Codashop
https://codashop.sjv.io/c/2984082/1122626/11950?sharedid=Ednox

First Automatic Pistol in CODM! 

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09

#codm #automatic #pistol",2022-04-11T12:18:32Z,74123,3594,339
J-I9lQyFYQs,Most Rare OG Skins in CODM!,#shorts #cod #codmobile #callofdutymobile,2023-06-11T11:34:00Z,20432,1504,158
L75x_OROMFI,Assault Rifles With The Worst Ironsight!,#shorts #cod #codmobile #callofdutymobile,2023-07-20T09:45:49Z,25606,1139,90
1OiP1w3QR2o,Iconic Skins of Each Year in CODM!,#shorts #codm #codmobile #cod #viral,2023-05-15T13:03:29Z,35527,2522,78
Ue0Y5vLxxkA,First Automatic Pistol in CODM!,"Link to Purchase through Codashop
https://codashop.sjv.io/c/2984082/1122626/11950?sharedid=Ednox

First Automatic Pistol in CODM! 

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09

#codm #automatic #pistol",2022-04-11T12:18:32Z,74123,3594,339
lsnBNXkDoEM,8 Types of CODM Youtubers!,"Link to Purchase through Codashop
https://codashop.sjv.io/c/2984082/1122626/11950?sharedid=Ednox

8 Types of CODM Youtubers! 

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09",2022-01-26T12:15:22Z,17006,1850,212
vC60JNc4S5U,3 Times Ferg Blessed the CODM Community!,"3 Times Ferg Blessed the CODM Community! 

Socials
Instagram-https://instagram.com/ednoxyt
Discord-https://discord.gg/5ZTF4kuM9f
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09

Link to Purchase through Codashop
https://codashop.sjv.io/c/2984082/1122626/11950?sharedid=Ednox

#codm #codmobile #ferg",2021-12-26T13:34:38Z,39156,2897,237
9pStQuTeh34,Why Garena Players Are Using Rytec More Than DLQ!,"Link to Purchase through Codashop
https://codashop.sjv.io/c/2984082/1122626/11950?sharedid=Ednox

Why Garena Players Are Using Rytec More Than DLQ! 

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09

#codm #codmobile #callofdutymobile",2022-04-14T08:48:30Z,56461,2856,384
52Q9Ci8pyZc,ITS JUST AN SMG BRO 😊😊😊,#shorts #cod #codmobile #callofdutymobile,2023-06-03T16:53:59Z,84841,5145,485
FQRYV7FQuD0,3 Things That Will Make You The BEST PLAYER in CODM!,"3 Things That Will Make You The BEST PLAYER in CODM!

These 3 things will make you a beast and a best player in codm!

Follow me on-
Instagram-https://instagram.com/ednoxyt

Twitter- https://twitter.com/EdNOXYT?t=si8HkrR...

#codm #codmobile #callofdutymobile #season4",2023-05-28T09:02:27Z,5359,317,37
1w9MmNryAGU,How Valorant Players Plays CODM!,#codm #codmobile #callofdutymobile,2021-10-16T04:33:28Z,18830,1319,138
5D0L0vjixm8,4 Signs of An Addicted CODM Player!,"4 Signs of An Addicted CODM Player!

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&.

#codm #codmobile #season1 #lowend",2023-01-31T13:21:33Z,15595,790,205
J-I9lQyFYQs,Most Rare OG Skins in CODM!,#shorts #cod #codmobile #callofdutymobile,2023-06-11T11:34:00Z,20432,1504,158
RUcF6iS56BM,4 Things You Should Never Say to a CODM Player!,"4 Things You Should Never Say to a CODM Player! 
These are the 4 things that you should never say to a codm player.. 

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09

Codm
Cod mobile
Call of duty mobile
Ednox
Cod",2022-08-23T05:26:23Z,15415,968,217
aorPJ5Ue2-o,CODM Listened to Us Finally!,"CODM Listened to Us Finally!

They finally listened to us!

Follow me on-
Instagram-https://instagram.com/ednoxyt

Twitter- https://twitter.com/EdNOXYT?t=si8HkrR...

#codm #codmobile #callofdutymobile #season4",2023-06-03T10:53:37Z,5108,367,54
PTcfsuj8-_k,CODM Season 10 is a Disappointment!,"CODM Season 10 is a Disappointment! 

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&

#codm #codmobile #callofdutymobile",2022-11-09T11:42:54Z,15123,710,261
QjNJS6YFKi8,Global Servers Are Easier Than Garena?,"Global Servers Are Easier Than Garena? 

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&",2022-10-26T14:15:37Z,9519,495,124
DAtPAQgdS3U,4 Things Every Garena Player Does in CODM!,"Link to Purchase through Codashop
https://codashop.sjv.io/c/2984082/1122626/11950?sharedid=Ednox

4 Things Every Garena Player Does in CODM! 

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09

Codashop Socials-
FB - https://www.facebook.com/Codashop.IN/

IG - https://instagram.com/codashop.in",2022-01-11T16:19:47Z,18744,1418,274
G_svmmQ2zyY,3 Tips To Get Insane Aim in CODM!,"3 Tips To Get Insane Aim in CODM! 

These 3 Tips will make your aim insane in codm

Socials-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09",2022-01-06T12:20:30Z,69989,3466,248
BDvL9zll3tE,3 Harsh Truths Low End Players Gotta Accept!,"3 Harsh Truths Low End Players Gotta Accept!

These are the harsh truths low end players gotta accept!

Follow me on-
Instagram-https://instagram.com/ednoxyt

Twitter- https://twitter.com/EdNOXYT?t=si8HkrRjoVF-yEVUN4BVHg&s=09

#codm #codmobile #callofdutymobile #season3",2023-04-23T14:23:49Z,6722,472,116
6H009TDN3jc,3 Signs That You Are Addicted to CODM!,"3 Signs That You Are Addicted to CODM! 

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09

#codm #codmobile #callofdutymobile",2022-09-13T11:37:54Z,12823,853,247
XsUDZiEHPr0,Today is a Nostalgic Day in CODM!,"Today is a Nostalgic Day in CODM! 
Today is a nostalgic day in codm as today it marks the 2 years gunsmith anniversary of CODM. This day brings back a lot of memories

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09",2022-08-15T09:52:13Z,34221,2376,299
SNhnjHnUHMc,CODM Nerfed Movement Again But..,"CODM Nerfed Movement Again But.. 

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&

#codm #codmobile #callofdutymobile",2022-11-06T12:45:27Z,20124,733,130
cX6yNj0H7rU,The New Slowest Gun in CODM !,#codm #codmobile #callofdutymobile,2021-08-14T05:51:50Z,5435,568,82
iGta9AY-5Ds,Here's Why This Gun Will Destroy CODM in Season 5!,"Link to purchase through CODASHOP-
https://codashop.sjv.io/c/2984082/1334278/11950?sharedid=Ednox

Here's Why This Gun Will Destroy CODM in Season 5! 

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09

#codm #codmobile #oden",2022-05-11T06:52:17Z,18412,1069,216
bMUu_UeUs6o,CODM is Slowly Bringing Back Nostalgia!,"Link to Purchase through Codashop
https://codashop.sjv.io/c/2984082/1122626/11950?sharedid=Ednox

CODM is Slowly Bringing Back Nostalgia! 

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09

#codm #codmobile #callofdutymobile",2022-04-23T12:49:39Z,27829,1870,256
s0PY1fkKgx4,This Guy Was Using 3 Lightweight Perks!,"This Guy Was Using 3 Lightweight Perks! 

#codm #codmobile #callofdutymobile",2022-02-07T13:05:38Z,23605,1738,286
hbdHQPrLe-A,Every RPD spammer in CODM,"#codm #codmobile #callofdutymobile

Codm
Cod mobile
Call of duty mobile
Ednox",2021-07-06T15:37:00Z,29903,1701,171
ntn6EiZ9mow,Cheap Mythic VS Normal Mythic in CODM,#shorts #cod #codmobile #callofdutymobile,2023-07-27T08:34:18Z,13226,582,26
alWwTMymgMY,4 Tips To Counter Persistence Users!,"4 Tips To Counter Persistence Users! these are the 4 tips you should follow in order to counter persistence users.. 

#codm #ranked #codmobile",2021-11-28T13:26:20Z,18808,1357,196
rFTOjAVVet8,F2P PLAYERS🗿😱😱,#shorts #codm #callofduty,2023-05-20T12:37:28Z,16369,925,115
p07EdVc3-Ts,ITS JUST AKIMBO BRO 😊😊😊,#shorts #cod #codmobile #callofdutymobile,2023-05-31T16:05:56Z,749492,32006,737
t7wp6X0a_Ko,Garena Servers are Dying?,"Garena Servers are Dying? 

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&",2022-10-16T13:02:09Z,27865,990,477
iB_xNm_iQGU,5 Guns With The Lowest Mobility in CODM!,"Link to Purchase through Codashop
https://codashop.sjv.io/c/2984082/1122626/11950?sharedid=Ednox

5 Guns With The Lowest Mobility in CODM! 

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09",2022-01-31T07:48:38Z,20520,1356,147
F1bUvJm9oYo,Every Melee User in CODM Today!,"#codm #codmobile #callofdutymobile

Codm
Cod mobile
Call of duty mobile
Ednox",2021-08-20T07:10:11Z,52572,3247,577
5Ogn_AMP2eg,Aesthetic Manta Ray in CODM!,#shorts #cod #codmobile #callofdutymobile,2023-08-11T11:35:51Z,9949,475,28
zPXsxuvtl-g,What is bro doing☠️!,,2023-05-06T13:30:40Z,4398,281,23
Lt2Skdfl6Es,1 Million CP Account! 💀💀,#shorts #cod #codmobile #callofdutymobile,2023-08-20T11:49:34Z,7603,368,35
vj53ZfQx2OA,These Gamemodes Are Ruining Your Mental Health!,"These Gamemodes Are Ruining Your Mental Health!

These game modes are ruining your mental health like crazy

Follow me on-
Instagram-https://instagram.com/ednoxyt

Twitter- https://twitter.com/EdNOXYT?t=si8HkrR...

#codm #codmobile #callofdutymobile #season5",2023-06-05T15:23:19Z,3908,282,95
rKkbuhuxz-g,Longest Pistol Noscope in the History of CODM!,"Link to purchase through CODASHOP-
https://codashop.sjv.io/c/2984082/1334278/11950?sharedid=Ednox

Longest Pistol Noscope in the History of CODM! 

Follow me on-
Instagram-https://instagram.com/ednoxyt
Twitter-https://twitter.com/ednoxxxx?t=EJu8jkQ5F7PhExgG0pAKtw&s=09

#codm #codmobile #callofdutymobile",2022-07-08T05:47:55Z,15020,887,129
